source_id	derivative_id	subject_id	session_id	output_num	output_size	nifti_num	nifti_size	html_num
ds006191	custom-ds006191	sub-24053	ses-1	24	6624497	4	6624497	0
ds006191	custom-ds006191	sub-24630	ses-1	24	5953536	4	5953536	0
ds006191	custom-ds006191	sub-24663	ses-1	24	5386834	4	5386834	0
ds006191	custom-ds006191	sub-24683	ses-1	24	5796247	4	5796247	0
ds006191	custom-ds006191	sub-24684	ses-1	24	6931154	4	6931154	0
ds006191	custom-ds006191	sub-24696	ses-1	24	5886021	4	5886021	0
ds006191	custom-ds006191	sub-24697	ses-1	24	6101969	4	6101969	0
ds006191	custom-ds006191	sub-24699	ses-1	24	7022627	4	7022627	0
ds006191	custom-ds006191	sub-24702	ses-1	24	5604730	4	5604730	0
ds006191	custom-ds006191	sub-60295	ses-1	24	5763648	4	5763648	0
ds006191	custom-ds006191	sub-PILOT01	ses-1	24	5481574	4	5481574	0
ds006191	custom-ds006191	sub-PILOT02	ses-1	24	6240477	4	6240477	0
